Pair,REGULATOR,TARGET
CHD4_BAZ2A,CHD4,BAZ2A
CHD4_DDB1,CHD4,DDB1
CHD4_DFFA,CHD4,DFFA
CHD4_EPB41,CHD4,EPB41
CHD4_EZH2,CHD4,EZH2
CHD4_HNRNPF,CHD4,HNRNPF
CHD4_LMBR1L,CHD4,LMBR1L
CHD4_NPAS1,CHD4,NPAS1
CHD4_NPTXR,CHD4,NPTXR
CHD4_PRKAG1,CHD4,PRKAG1
CHD4_RAPGEF6,CHD4,RAPGEF6
CHD4_RHBDF2,CHD4,RHBDF2
CHD4_STX4,CHD4,STX4
CHD4_TFRC,CHD4,TFRC
CHD4_TK1,CHD4,TK1
CHD4_TMEM214,CHD4,TMEM214
CNOT3_CTPS1,CNOT3,CTPS1
CNOT3_DNAJC8,CNOT3,DNAJC8
CNOT3_HIST1H2BB,CNOT3,HIST1H2BB
CNOT3_HIST1H2BF,CNOT3,HIST1H2BF
CNOT3_HIST1H3F,CNOT3,HIST1H3F
CNOT3_MTDH,CNOT3,MTDH
CNOT3_MYO5A,CNOT3,MYO5A
CNOT3_NCL,CNOT3,NCL
CNOT3_NCOR1,CNOT3,NCOR1
CNOT3_NPTXR,CNOT3,NPTXR
CNOT3_NUP98,CNOT3,NUP98
CNOT3_RER1,CNOT3,RER1
CNOT3_RNF44,CNOT3,RNF44
CNOT3_SDK2,CNOT3,SDK2
CNOT3_SRRM1,CNOT3,SRRM1
CNOT3_SRRM2,CNOT3,SRRM2
CNOT3_SURF2,CNOT3,SURF2
CNOT3_TP53,CNOT3,TP53
CNOT3_YY1,CNOT3,YY1
CNOT3_ZBTB22,CNOT3,ZBTB22
CNOT3_ZNF35,CNOT3,ZNF35
DCP1A_SRRM2,DCP1A,SRRM2
ESR1_BBC3,ESR1,BBC3
ESR1_BMP7,ESR1,BMP7
ESR1_BTG2,ESR1,BTG2
ESR1_C5AR2,ESR1,C5AR2
ESR1_CELF2,ESR1,CELF2
ESR1_CRMP1,ESR1,CRMP1
ESR1_DCT,ESR1,DCT
ESR1_DHX8,ESR1,DHX8
ESR1_E2F3,ESR1,E2F3
ESR1_EMC8,ESR1,EMC8
ESR1_EPB41,ESR1,EPB41
ESR1_EZH2,ESR1,EZH2
ESR1_GNAI2,ESR1,GNAI2
ESR1_HDAC8,ESR1,HDAC8
ESR1_HNRNPF,ESR1,HNRNPF
ESR1_ID3,ESR1,ID3
ESR1_IRS2,ESR1,IRS2
ESR1_ITIH1,ESR1,ITIH1
ESR1_KLHL26,ESR1,KLHL26
ESR1_NCL,ESR1,NCL
ESR1_NUP98,ESR1,NUP98
ESR1_PA2G4,ESR1,PA2G4
ESR1_PCSK6,ESR1,PCSK6
ESR1_PPP2R1A,ESR1,PPP2R1A
ESR1_PTPN9,ESR1,PTPN9
ESR1_PTPRJ,ESR1,PTPRJ
ESR1_QSOX2,ESR1,QSOX2
ESR1_RHOB,ESR1,RHOB
ESR1_SDK2,ESR1,SDK2
ESR1_SFMBT1,ESR1,SFMBT1
ESR1_SFTPB,ESR1,SFTPB
ESR1_SLC2A3,ESR1,SLC2A3
ESR1_SLC35F6,ESR1,SLC35F6
ESR1_SMC4,ESR1,SMC4
ESR1_SORBS2,ESR1,SORBS2
ESR1_STMN1,ESR1,STMN1
ESR1_STX4,ESR1,STX4
ESR1_SURF2,ESR1,SURF2
ESR1_TFRC,ESR1,TFRC
ESR1_TIAL1,ESR1,TIAL1
ESR1_TK1,ESR1,TK1
ESR1_TMEM115,ESR1,TMEM115
ESR1_TMEM138,ESR1,TMEM138
ESR1_TP53,ESR1,TP53
ESR1_UBQLN4,ESR1,UBQLN4
ESR1_ZCCHC8,ESR1,ZCCHC8
EZH2_ABCD2,EZH2,ABCD2
EZH2_ABI2,EZH2,ABI2
EZH2_ADH5,EZH2,ADH5
EZH2_AFF4,EZH2,AFF4
EZH2_AGFG1,EZH2,AGFG1
EZH2_AIPL1,EZH2,AIPL1
EZH2_ALDH6A1,EZH2,ALDH6A1
EZH2_AMPD2,EZH2,AMPD2
EZH2_AP2B1,EZH2,AP2B1
EZH2_ARHGEF11,EZH2,ARHGEF11
EZH2_ARMC1,EZH2,ARMC1
EZH2_ASNS,EZH2,ASNS
EZH2_ASXL2,EZH2,ASXL2
EZH2_ATAD2,EZH2,ATAD2
EZH2_ATXN7,EZH2,ATXN7
EZH2_AURKA,EZH2,AURKA
EZH2_BAP1,EZH2,BAP1
EZH2_BAZ2A,EZH2,BAZ2A
EZH2_BBC3,EZH2,BBC3
EZH2_BCL10,EZH2,BCL10
EZH2_BLOC1S1,EZH2,BLOC1S1
EZH2_BRD4,EZH2,BRD4
EZH2_BTG2,EZH2,BTG2
EZH2_BUB1,EZH2,BUB1
EZH2_CALR,EZH2,CALR
EZH2_CAMSAP1,EZH2,CAMSAP1
EZH2_CAP1,EZH2,CAP1
EZH2_CAPZB,EZH2,CAPZB
EZH2_CDC37,EZH2,CDC37
EZH2_CDK13,EZH2,CDK13
EZH2_CELF2,EZH2,CELF2
EZH2_CENPA,EZH2,CENPA
EZH2_CHD4,EZH2,CHD4
EZH2_CLPP,EZH2,CLPP
EZH2_CLPX,EZH2,CLPX
EZH2_CNOT1,EZH2,CNOT1
EZH2_CNR2,EZH2,CNR2
EZH2_COL1A1,EZH2,COL1A1
EZH2_CTDNEP1,EZH2,CTDNEP1
EZH2_CTNNA2,EZH2,CTNNA2
EZH2_CTPS1,EZH2,CTPS1
EZH2_CUL3,EZH2,CUL3
EZH2_DAB1,EZH2,DAB1
EZH2_DAZAP1,EZH2,DAZAP1
EZH2_DDX19B,EZH2,DDX19B
EZH2_DFFA,EZH2,DFFA
EZH2_DLGAP5,EZH2,DLGAP5
EZH2_DPH5,EZH2,DPH5
EZH2_EFNB1,EZH2,EFNB1
EZH2_EIF4A2,EZH2,EIF4A2
EZH2_ENG,EZH2,ENG
EZH2_EPB41,EZH2,EPB41
EZH2_ESR1,EZH2,ESR1
EZH2_EZH2,EZH2,EZH2
EZH2_FAM53C,EZH2,FAM53C
EZH2_FBXL7,EZH2,FBXL7
EZH2_FEM1B,EZH2,FEM1B
EZH2_GATAD2A,EZH2,GATAD2A
EZH2_GCK,EZH2,GCK
EZH2_GNAI2,EZH2,GNAI2
EZH2_GPATCH4,EZH2,GPATCH4
EZH2_GTPBP1,EZH2,GTPBP1
EZH2_GUCA1B,EZH2,GUCA1B
EZH2_GYS1,EZH2,GYS1
EZH2_HCFC1,EZH2,HCFC1
EZH2_HDAC5,EZH2,HDAC5
EZH2_HIST1H2BB,EZH2,HIST1H2BB
EZH2_HIST1H2BF,EZH2,HIST1H2BF
EZH2_HIST1H3F,EZH2,HIST1H3F
EZH2_HJURP,EZH2,HJURP
EZH2_HNRNPF,EZH2,HNRNPF
EZH2_HNRNPR,EZH2,HNRNPR
EZH2_IRS2,EZH2,IRS2
EZH2_ITFG2,EZH2,ITFG2
EZH2_ITGB3,EZH2,ITGB3
EZH2_ITIH1,EZH2,ITIH1
EZH2_KCNN1,EZH2,KCNN1
EZH2_KDM4A,EZH2,KDM4A
EZH2_KDM5A,EZH2,KDM5A
EZH2_KIF3B,EZH2,KIF3B
EZH2_KLHL26,EZH2,KLHL26
EZH2_LAMTOR5,EZH2,LAMTOR5
EZH2_LPAR2,EZH2,LPAR2
EZH2_MAP1S,EZH2,MAP1S
EZH2_MAP7D1,EZH2,MAP7D1
EZH2_MATR3,EZH2,MATR3
EZH2_MED16,EZH2,MED16
EZH2_MET,EZH2,MET
EZH2_MKS1,EZH2,MKS1
EZH2_MLLT10,EZH2,MLLT10
EZH2_MMP9,EZH2,MMP9
EZH2_MORF4L1,EZH2,MORF4L1
EZH2_MTCH1,EZH2,MTCH1
EZH2_MTDH,EZH2,MTDH
EZH2_MTMR2,EZH2,MTMR2
