"","proMYC","antiMYC"
"1","ATP2B4","NFYA"
"2","EMP1","NFYA"
"3","PTRH2","NFYA"
"4","TUBA1A","NFYA"
"5","NGFR","NFYA"
"6","ADAMTS15","NFYA"
"7","DGKA","NFYA"
"8","C12orf66","NFYA"
"9","LSG1","NFYA"
"10","CIRH1A","NFYA"
"11","ZBED2","NFYA"
"12","UBE2D4","NFYA"
"13","RABEPK","NFYA"
"14","BCS1L","NFYA"
"15","ACSS2","NFYA"
"16","CDK4","NFYA"
"17","RHBDF1","NFYA"
"18","HK2","NFYA"
"19","RUNX1","NFYA"
"20","PFKM","NFYA"
"21","AIMP2","NFYA"
"22","LOC646762","NFYA"
"23","ERVMER341","NFYA"
"24","SFXN4","NFYA"
"25","SLC19A1","NFYA"
"26","MYBBP1A","NFYA"
"27","HIST1H2AC","NFYA"
"28","TGM1","NFYA"
"29","ADAM8","NFYA"
"30","NOLC1","NFYA"
"31","FGD6","NFYA"
"32","CCDC137","NFYA"
"33","FGF11","NFYA"
"34","CYTH2","NFYA"
"35","HSPD1","NFYA"
"36","PNPT1","NFYA"
"37","FLJ10661","NFYA"
"38","DCAF4","NFYA"
"39","DHODH","NFYA"
"40","TGM2","NFYA"
"41","COL5A1","NFYA"
"42","IRF9","NFYA"
"43","IPO4","NFYA"
"44","TNFAIP2","NFYA"
"45","TRMT1","NFYA"
"46","MCOLN2","NFYA"
"47","TCOF1","NFYA"
"48","GPD1L","NFYA"
"49","IMP4","NFYA"
"50","PCOLCE2","NFYA"
"51","FLAD1","NFYA"
"52","NOP56","NFYA"
"53","NFKB2","NFYA"
"54","OSBP2","NFYA"
"55","AKAP12","NFYA"
"56","C1orf51","NFYA"
"57","SPTAN1","NFYA"
"58","ALS2CL","NFYA"
"59","PMM2","NFYA"
"60","RNF213","NFYA"
"61","PHB","NFYA"
"62","C11orf48","NFYA"
"63","HSPA6","NFYA"
"64","PA2G4","NFYA"
"65","RRP9","NFYA"
"66","DDAH2","NFYA"
"67","DDX26B","NFYA"
"68","NLE1","NFYA"
"69","KCNQ5","NFYA"
"70","DDX28","NFYA"
"71","STMN3","NFYA"
"72","DDX10","NFYA"
"73","SORD","NFYA"
"74","UTP20","NFYA"
"75","TINF2","NFYA"
"76","TMEM97","NFYA"
"77","ZNF667","NFYA"
"78","TTLL12","NFYA"
"79","DAB2","NFYA"
"80","OR2A4","NFYA"
"81","PRR5","NFYA"
"82","MEG3","NFYA"
"83","FAM195A","NFYA"
"84","BID","NFYA"
"85","XPO5","NFYA"
"86","TRIOBP","NFYA"
"87","PLAU","NFYA"
"88","PLEKHG2","NFYA"
"89","KIAA1609","NFYA"
"90","FAM86B1","NFYA"
"91","MKNK1","NFYA"
"92","CDK2","NFYA"
"93","PLEC","NFYA"
"94","COL1A1","NFYA"
"95","MAP3K6","NFYA"
"96","UBIAD1","NFYA"
"97","ERBB3","NFYA"
"98","FARSA","NFYA"
"99","DTX2P1UPK3BP1PMS2P11","NFYA"
"100","AGPAT5","NFYA"
"101","PLD6","NFYA"
"102","ARNTL","NFYA"
"103","SLC6A8","NFYA"
"104","FAM168A","NFYA"
"105","LOC730755","NFYA"
"106","SMTN","NFYA"
"107","ABCC3","NFYA"
"108","PHF1","NFYA"
"109","NDE1","NFYA"
"110","DHRS1","NFYA"
"111","KHNYN","NFYA"
"112","EPS8L1","NFYA"
"113","ANGEL1","NFYA"
"114","GPR110","NFYA"
"115","COL8A2","NFYA"
"116","SORL1","NFYA"
"117","ANAPC1","NFYA"
"118","SESTD1","NFYA"
"119","RPP40","NFYA"
"120","FGFBP1","NFYA"
"121","NUFIP1","NFYA"
"122","ERCC1","NFYA"
"123","ALG3","NFYA"
"124","MTMR11","NFYA"
"125","CCNG2","NFYA"
"126","NLRP1","NFYA"
"127","ABL2","NFYA"
"128","SRM","NFYA"
"129","SCFD2","NFYA"
"130","GNL3","NFYA"
"131","GPATCH4","NFYA"
"132","ALDH1B1","NFYA"
"133","PAICS","NFYA"
"134","NOL6","NFYA"
"135","VMP1","NFYA"
"136","NTF4","NFYA"
"137","NCL","NFYA"
"138","SLC12A8","NFYA"
"139","HS6ST2","NFYA"
"140","GPRC5A","NFYA"
"141","NIT1","NFYA"
"142","FAM193B","NFYA"
"143","DUOX1","NFYA"
"144","BOP1","NFYA"
"145","MST1R","NFYA"
"146","WSB1","NFYA"
"147","GOLGA2","NFYA"
"148","LTBP2","NFYA"
"149","AHNAK","NFYA"
"150","LINC00173","NFYA"
"151","GEMIN5","NFYA"
"152","PC","NFYA"
"153","MICAL1","NFYA"
"154","BEND3","NFYA"
"155","MIR21","NFYA"
"156","DUSP22","NFYA"
"157","CGN","NFYA"
"158","C10orf2","NFYA"
"159","SUPV3L1","NFYA"
"160","DIEXF","NFYA"
"161","FCHSD1","NFYA"
"162","VAMP1","NFYA"
"163","YPEL3","NFYA"
"164","CDCA8","NFYA"
"165","TAF4B","NFYA"
"166","CCDC78","NFYA"
"167","FAM100A","NFYA"
"168","NPM1","NFYA"
"169","TFB2M","NFYA"
"170","DKC1","NFYA"
"171","PDLIM7","NFYA"
"172","DUSP2","NFYA"
"173","ARNTL2","NFYA"
"174","PES1","NFYA"
"175","SSH3","NFYA"
"176","FARSB","NFYA"
"177","C19orf48","NFYA"
"178","C20orf27","NFYA"
"179","WDR12","NFYA"
"180","SERPINB1","NFYA"
"181","MON1A","NFYA"
"182","SMURF1","NFYA"
"183","PCYOX1L","NFYA"
"184","NRP1","NFYA"
"185","SLC6A15","NFYA"
"186","MRTO4","NFYA"
"187","FAM86C1","NFYA"
"188","ATIC","NFYA"
"189","SLITRK6","NFYA"
"190","B7H6","NFYA"
"191","CCDC86","NFYA"
"192","SLC29A2","NFYA"
"193","SNHG1","NFYA"
"194","LAMC2","NFYA"
"195","DDX18","NFYA"
"196","EXOSC5","NFYA"
"197","ECE2","NFYA"
"198","NOP16","NFYA"
"199","WDR74","NFYA"
"200","UTP14A","NFYA"
"201","NOP2","NFYA"
"202","METTL1","NFYA"
"203","RCL1","NFYA"
"204","PDP1","NFYA"
"205","BAX","NFYA"
"206","TK1","NFYA"
"207","TAF9","NFYA"
"208","RUVBL2","NFYA"
"209","HMGA1","NFYA"
"210","KAT5","NFYA"
"211","ENO1","NFYA"
"212","CDC25A","NFYA"
"213","E2F3","NFYA"
"214","PRDX3","NFYA"
"215","ODC1","NFYA"
"216","PTMA","NFYA"
"217","SNAI1","NFYA"
"218","KAT2A","NFYA"
"219","SERPINI1","NFYA"
"220","HSP90AA1","NFYA"
"221","MMP9","NFYA"
"222","LIN28B","NFYA"
"223","NME1","NFYA"
"224","TERT","NFYA"
"225","RPL11","NFYA"
