"","proNotch","antiNotch"
"1","HDAC1","HERPUD1"
"2","PHB2","HERPUD1"
"3","TAGLN","HERPUD1"
"4","ITGAV","HERPUD1"
"5","SLC3A1","HERPUD1"
"6","CANX","HERPUD1"
"7","FLOT1","HERPUD1"
"8","NQO1","HERPUD1"
"9","PCF11","HERPUD1"
"10","F2R","HERPUD1"
"11","LAMB2","HERPUD1"
"12","CD4","HERPUD1"
"13","SLC4A3","HERPUD1"
"14","S100A13","HERPUD1"
"15","CNTN1","HERPUD1"
"16","TCAP","HERPUD1"
"17","STAT5A","HERPUD1"
"18","ARL6IP5","HERPUD1"
"19","ANXA6","HERPUD1"
"20","ABCC8","HERPUD1"
"21","SLC12A3","HERPUD1"
"22","COL18A1","HERPUD1"
"23","HMGCR","HERPUD1"
"24","SFPQ","HERPUD1"
"25","SEC62","HERPUD1"
"26","BRCA1","HERPUD1"
"27","PSMD10","HERPUD1"
"28","PTHLH","HERPUD1"
"29","RBP1","HERPUD1"
"30","P2RY10","HERPUD1"
"31","CD69","HERPUD1"
"32","TARP","HERPUD1"
"33","CD3D","HERPUD1"
"34","RAG2","HERPUD1"
"35","RRAS2","HERPUD1"
"36","ID2","HERPUD1"
"37","CD28","HERPUD1"
"38","GATA3","HERPUD1"
"39","TRAT1","HERPUD1"
"40","EGR2","HERPUD1"
"41","TNFRSF18","HERPUD1"
"42","LCK","HERPUD1"
"43","GZMB","HERPUD1"
"44","BCL2A1","HERPUD1"
"45","CCR7","HERPUD1"
"46","CD83","HERPUD1"
"47","CCL5","HERPUD1"
"48","TRAF1","HERPUD1"
"49","IL12B","HERPUD1"
"50","CX3CL1","HERPUD1"
"51","RELB","HERPUD1"
"52","EGR1","HERPUD1"
"53","CARD11","HERPUD1"
"54","NFKB2","HERPUD1"
"55","ICAM1","HERPUD1"
"56","IRF7","HERPUD1"
"57","JUNB","HERPUD1"
"58","IL10RA","HERPUD1"
"59","CD86","HERPUD1"
"60","BIRC2","HERPUD1"
"61","BIRC3","HERPUD1"
"62","CD80","HERPUD1"
"63","ZAP70","HERPUD1"
"64","DDR1","HERPUD1"
"65","CD7","HERPUD1"
"66","CD3G","HERPUD1"
"67","TOX","HERPUD1"
"68","GZMA","HERPUD1"
"69","DTX1","HERPUD1"
"70","LAT","HERPUD1"
"71","RAG1","HERPUD1"
"72","PTCRA","HERPUD1"
"73","CD2","HERPUD1"
"74","NFATC1","HERPUD1"
"75","NOTCH3","HERPUD1"
"76","CD74","HERPUD1"
"77","THY1","HERPUD1"
"78","CTLA4","HERPUD1"
"79","MAMLD1","HERPUD1"
"80","CREBBP","HERPUD1"
"81","E2F1","HERPUD1"
"82","E2F3","HERPUD1"
"83","EIF2C3","HERPUD1"
"84","EIF2C4","HERPUD1"
"85","EP300","HERPUD1"
"86","SNW1","HERPUD1"
"87","TNRC6B","HERPUD1"
"88","KAT2A","HERPUD1"
"89","EIF2C1","HERPUD1"
"90","EIF2C2","HERPUD1"
"91","TNRC6A","HERPUD1"
"92","RBPJ","HERPUD1"
"93","JUN","HERPUD1"
"94","MOV10","HERPUD1"
"95","LOC441488","HERPUD1"
"96","NOTCH2","HERPUD1"
"97","NOTCH4","HERPUD1"
"98","MAML3","HERPUD1"
"99","TNRC6C","HERPUD1"
"100","CCND1","HERPUD1"
"101","TFDP1","HERPUD1"
"102","LOC728030","HERPUD1"
"103","MAML2","HERPUD1"
"104","KAT2B","HERPUD1"
"105","MAML1","HERPUD1"
"106","ADAM10","HERPUD1"
"107","DTX2","HERPUD1"
"108","MIB2","HERPUD1"
"109","JAG1","HERPUD1"
"110","DTX4","HERPUD1"
"111","NCSTN","HERPUD1"
"112","DLL1","HERPUD1"
"113","JAG2","HERPUD1"
"114","ARRB1","HERPUD1"
"115","ARRB2","HERPUD1"
"116","APH1A","HERPUD1"
"117","PSENEN","HERPUD1"
"118","PSEN1","HERPUD1"
"119","PSEN2","HERPUD1"
"120","MIB1","HERPUD1"
"121","RPS27A","HERPUD1"
"122","ADAM17","HERPUD1"
"123","RPS27AP11","HERPUD1"
"124","UBA52","HERPUD1"
"125","APH1B","HERPUD1"
"126","DNER","HERPUD1"
"127","ST3GAL6","HERPUD1"
"128","TMED2","HERPUD1"
"129","POFUT1","HERPUD1"
"130","B4GALT1","HERPUD1"
"131","MFNG","HERPUD1"
"132","ATP2A1","HERPUD1"
"133","ATP2A2","HERPUD1"
"134","ATP2A3","HERPUD1"
"135","FURIN","HERPUD1"
"136","POGLUT1","HERPUD1"
"137","RAB6A","HERPUD1"
"138","SEL1L","HERPUD1"
"139","ST3GAL3","HERPUD1"
"140","HDAC6","HERPUD1"
"141","HDAC5","HERPUD1"
"142","CDK8","HERPUD1"
"143","HEYL","HERPUD1"
"144","HDAC2","HERPUD1"
"145","HIF1A","HERPUD1"
"146","HES1","HERPUD1"
"147","HES5","HERPUD1"
"148","HDAC7","HERPUD1"
"149","HDAC8","HERPUD1"
"150","SKP1","HERPUD1"
"151","TBL1X","HERPUD1"
"152","TLE1","HERPUD1"
"153","TLE2","HERPUD1"
"154","TLE3","HERPUD1"
"155","TLE4","HERPUD1"
"156","TBL1XR1","HERPUD1"
"157","HDAC11","HERPUD1"
"158","HDAC10","HERPUD1"
"159","CUL1","HERPUD1"
"160","HDAC3","HERPUD1"
"161","CCNC","HERPUD1"
"162","NCOR1","HERPUD1"
"163","NCOR2","HERPUD1"
"164","HDAC9","HERPUD1"
"165","HDAC4","HERPUD1"
"166","RBX1","HERPUD1"
"167","STAT3","HERPUD1"
"168","NOD2","HERPUD1"
"169","ITGB1BP1","HERPUD1"
"170","TSPAN15","HERPUD1"
"171","TSPAN17","HERPUD1"
"172","GSX2","HERPUD1"
"173","NOV","HERPUD1"
"174","TSPAN14","HERPUD1"
"175","PDCD10","HERPUD1"
"176","KIT","HERPUD1"
"177","TSPAN10","HERPUD1"
"178","TSPAN33","HERPUD1"
"179","WNT1","HERPUD1"
"180","SLC35C2","HERPUD1"
"181","TSPAN5","HERPUD1"
"182","C3orf17","HERPUD1"
"183","ASCL1","HERPUD1"
"184","AAK1","HERPUD1"
"185","NOTCH1","HERPUD1"
"186","EYA1","HERPUD1"
"187","ERH","HERPUD1"
"188","FGF10","HERPUD1"
"189","MESP1","HERPUD1"
"190","HDAC1","DDAH2"
"191","PHB2","DDAH2"
"192","TAGLN","DDAH2"
"193","ITGAV","DDAH2"
"194","SLC3A1","DDAH2"
"195","CANX","DDAH2"
"196","FLOT1","DDAH2"
"197","NQO1","DDAH2"
"198","PCF11","DDAH2"
"199","F2R","DDAH2"
"200","LAMB2","DDAH2"
"201","CD4","DDAH2"
"202","SLC4A3","DDAH2"
"203","S100A13","DDAH2"
"204","CNTN1","DDAH2"
"205","TCAP","DDAH2"
"206","STAT5A","DDAH2"
"207","ARL6IP5","DDAH2"
"208","ANXA6","DDAH2"
"209","ABCC8","DDAH2"
"210","SLC12A3","DDAH2"
"211","COL18A1","DDAH2"
"212","HMGCR","DDAH2"
"213","SFPQ","DDAH2"
"214","SEC62","DDAH2"
"215","BRCA1","DDAH2"
"216","PSMD10","DDAH2"
"217","PTHLH","DDAH2"
"218","RBP1","DDAH2"
"219","P2RY10","DDAH2"
"220","CD69","DDAH2"
"221","TARP","DDAH2"
"222","CD3D","DDAH2"
"223","RAG2","DDAH2"
"224","RRAS2","DDAH2"
"225","ID2","DDAH2"
"226","CD28","DDAH2"
"227","GATA3","DDAH2"
"228","TRAT1","DDAH2"
"229","EGR2","DDAH2"
"230","TNFRSF18","DDAH2"
"231","LCK","DDAH2"
"232","GZMB","DDAH2"
"233","BCL2A1","DDAH2"
"234","CCR7","DDAH2"
"235","CD83","DDAH2"
"236","CCL5","DDAH2"
"237","TRAF1","DDAH2"
"238","IL12B","DDAH2"
"239","CX3CL1","DDAH2"
"240","RELB","DDAH2"
"241","EGR1","DDAH2"
"242","CARD11","DDAH2"
"243","NFKB2","DDAH2"
"244","ICAM1","DDAH2"
"245","IRF7","DDAH2"
"246","JUNB","DDAH2"
"247","IL10RA","DDAH2"
"248","CD86","DDAH2"
"249","BIRC2","DDAH2"
"250","BIRC3","DDAH2"
"251","CD80","DDAH2"
"252","ZAP70","DDAH2"
"253","DDR1","DDAH2"
"254","CD7","DDAH2"
"255","CD3G","DDAH2"
"256","TOX","DDAH2"
"257","GZMA","DDAH2"
"258","DTX1","DDAH2"
"259","LAT","DDAH2"
"260","RAG1","DDAH2"
