"","ProDiabetes","AntiDiabetes"
"1","PDIA4","GUCY1A3"
"2","CHFR","GUCY1A3"
"3","CDK9","GUCY1A3"
"4","AAMP","GUCY1A3"
"5","RPN1","GUCY1A3"
"6","WDR18","GUCY1A3"
"7","DDX3X","GUCY1A3"
"8","BLK","GUCY1A3"
"9","FZR1","GUCY1A3"
"10","SAFB","GUCY1A3"
"11","CXCR4","GUCY1A3"
"12","NDUFV1","GUCY1A3"
"13","ODF2","GUCY1A3"
"14","UQCRC1","GUCY1A3"
"15","PDIA3","GUCY1A3"
"16","GPI","GUCY1A3"
"17","TPD52L2","GUCY1A3"
"18","THOC6","GUCY1A3"
"19","HSPA9","GUCY1A3"
"20","HSPA5","GUCY1A3"
"21","GPAA1","GUCY1A3"
"22","SAFB2","GUCY1A3"
"23","HNRNPA1","GUCY1A3"
"24","ZFP36L1","GUCY1A3"
"25","GBAP1","GUCY1A3"
"26","RBM3","GUCY1A3"
"27","CCDC22","GUCY1A3"
"28","PTX3","GUCY1A3"
"29","RTN3","GUCY1A3"
"30","KDELR2","GUCY1A3"
"31","COPG","GUCY1A3"
"32","HERPUD1","GUCY1A3"
"33","GLUD1","GUCY1A3"
"34","DDIT4","GUCY1A3"
"35","ARF6","GUCY1A3"
"36","HNRNPU","GUCY1A3"
"37","TSPAN14","GUCY1A3"
"38","HMGB2","GUCY1A3"
"39","SART1","GUCY1A3"
"40","CDT1","GUCY1A3"
"41","MAPRE1","GUCY1A3"
"42","YWHAZ","GUCY1A3"
"43","PPP4C","GUCY1A3"
"44","HYOU1","GUCY1A3"
"45","GLUL","GUCY1A3"
"46","RAB1B","GUCY1A3"
"47","ICAM3","GUCY1A3"
"48","CYBB","GUCY1A3"
"49","PRPF6","GUCY1A3"
"50","SRSF9","GUCY1A3"
"51","EHD4","GUCY1A3"
"52","PUF60","GUCY1A3"
"53","DUSP1","GUCY1A3"
"54","PHF21A","GUCY1A3"
"55","TSC22D3","GUCY1A3"
"56","ALDOA","GUCY1A3"
"57","HBEGF","GUCY1A3"
"58","PAK2","GUCY1A3"
"59","MARCKS","GUCY1A3"
"60","FCAR","GUCY1A3"
"61","AMDHD2","GUCY1A3"
"62","MRPL12","GUCY1A3"
"63","MAFB","GUCY1A3"
"64","JUNB","GUCY1A3"
"65","EREG","GUCY1A3"
"66","LSM12","GUCY1A3"
"67","POTEKP","GUCY1A3"
"68","SOCS3","GUCY1A3"
"69","SOCS1","GUCY1A3"
"70","ACTR2","GUCY1A3"
"71","CDC37","GUCY1A3"
"72","ELMO1","GUCY1A3"
"73","TESK2","GUCY1A3"
"74","HNRNPA3","GUCY1A3"
"75","GSN","GUCY1A3"
"76","FPR2","GUCY1A3"
"77","RAB8A","GUCY1A3"
"78","PPIF","GUCY1A3"
"79","STX11","GUCY1A3"
"80","NSD1","GUCY1A3"
"81","HNRNPK","GUCY1A3"
"82","CTSD","GUCY1A3"
"83","PABPC4","GUCY1A3"
"84","P4HB","GUCY1A3"
"85","COPS7B","GUCY1A3"
"86","C19orf60","GUCY1A3"
"87","PRCC","GUCY1A3"
"88","RRP12","GUCY1A3"
"89","PDIA4","RUFY3"
"90","CHFR","RUFY3"
"91","CDK9","RUFY3"
"92","AAMP","RUFY3"
"93","RPN1","RUFY3"
"94","WDR18","RUFY3"
"95","DDX3X","RUFY3"
"96","BLK","RUFY3"
"97","FZR1","RUFY3"
"98","SAFB","RUFY3"
"99","CXCR4","RUFY3"
"100","NDUFV1","RUFY3"
"101","ODF2","RUFY3"
"102","UQCRC1","RUFY3"
"103","PDIA3","RUFY3"
"104","GPI","RUFY3"
"105","TPD52L2","RUFY3"
"106","THOC6","RUFY3"
"107","HSPA9","RUFY3"
"108","HSPA5","RUFY3"
"109","GPAA1","RUFY3"
"110","SAFB2","RUFY3"
"111","HNRNPA1","RUFY3"
"112","ZFP36L1","RUFY3"
"113","GBAP1","RUFY3"
"114","RBM3","RUFY3"
"115","CCDC22","RUFY3"
"116","PTX3","RUFY3"
"117","RTN3","RUFY3"
"118","KDELR2","RUFY3"
"119","COPG","RUFY3"
"120","HERPUD1","RUFY3"
"121","GLUD1","RUFY3"
"122","DDIT4","RUFY3"
"123","ARF6","RUFY3"
"124","HNRNPU","RUFY3"
"125","TSPAN14","RUFY3"
"126","HMGB2","RUFY3"
"127","SART1","RUFY3"
"128","CDT1","RUFY3"
"129","MAPRE1","RUFY3"
"130","YWHAZ","RUFY3"
"131","PPP4C","RUFY3"
"132","HYOU1","RUFY3"
"133","GLUL","RUFY3"
"134","RAB1B","RUFY3"
"135","ICAM3","RUFY3"
"136","CYBB","RUFY3"
"137","PRPF6","RUFY3"
"138","SRSF9","RUFY3"
"139","EHD4","RUFY3"
"140","PUF60","RUFY3"
"141","DUSP1","RUFY3"
"142","PHF21A","RUFY3"
"143","TSC22D3","RUFY3"
"144","ALDOA","RUFY3"
"145","HBEGF","RUFY3"
"146","PAK2","RUFY3"
"147","MARCKS","RUFY3"
"148","FCAR","RUFY3"
"149","AMDHD2","RUFY3"
"150","MRPL12","RUFY3"
"151","MAFB","RUFY3"
"152","JUNB","RUFY3"
"153","EREG","RUFY3"
"154","LSM12","RUFY3"
"155","POTEKP","RUFY3"
"156","SOCS3","RUFY3"
"157","SOCS1","RUFY3"
"158","ACTR2","RUFY3"
"159","CDC37","RUFY3"
"160","ELMO1","RUFY3"
"161","TESK2","RUFY3"
"162","HNRNPA3","RUFY3"
"163","GSN","RUFY3"
"164","FPR2","RUFY3"
"165","RAB8A","RUFY3"
"166","PPIF","RUFY3"
"167","STX11","RUFY3"
"168","NSD1","RUFY3"
"169","HNRNPK","RUFY3"
"170","CTSD","RUFY3"
"171","PABPC4","RUFY3"
"172","P4HB","RUFY3"
"173","COPS7B","RUFY3"
"174","C19orf60","RUFY3"
"175","PRCC","RUFY3"
"176","RRP12","RUFY3"
"177","PDIA4","CDKN2C"
"178","CHFR","CDKN2C"
