ProImmune,AntiImmune
CD3E,GBP1
IL7,GBP1
IL18,GBP1
CD276,GBP1
IL21,GBP1
SART1,GBP1
CD47,GBP1
NCK2,GBP1
SIRPG,GBP1
NCK1,GBP1
LCK,GBP1
ZAP70,GBP1
IL12B,GBP1
CD24,GBP1
EBI3,GBP1
ICOSLG,GBP1
CD28,GBP1
RAB27A,GBP1
CLEC4E,GBP1
IFNE,GBP1
SLC11A1,GBP1
IFNA8,GBP1
LCP1,GBP1
RPS6,GBP1
CLEC4D,GBP1
IFNA13,GBP1
SLAMF6,GBP1
IL6,GBP1
IFNA6,GBP1
IFNA17,GBP1
IFNA21,GBP1
IFNA4,GBP1
IFNA5,GBP1
ATP7A,GBP1
IFNW1,GBP1
SEMA4A,GBP1
APBB1IP,GBP1
LY9,GBP1
IFNA16,GBP1
PSEN1,GBP1
IFNA7,GBP1
IL18R1,GBP1
FOXP1,GBP1
PTGER4,GBP1
IFNK,GBP1
RC3H2,GBP1
IFNA14,GBP1
TSC1,GBP1
BATF,GBP1
EIF2AK4,GBP1
RORC,GBP1
ICAM1,GBP1
CD86,GBP1
STAT6,GBP1
IFNG,GBP1
F2RL1,GBP1
CD1C,GBP1
ZFPM1,GBP1
RELB,GBP1
IFNA1,GBP1
LEF1,GBP1
IFNA10,GBP1
IRF4,GBP1
FCER1G,GBP1
ITGAL,GBP1
BCL3,GBP1
RORA,GBP1
EOMES,GBP1
FADD,GBP1
IL12A,GBP1
P2RX7,GBP1
IL12RB1,GBP1
PVRL2,GBP1
IL23R,GBP1
PVR,GBP1
HLA-E,GBP1
HLA-B,GBP1
NCR3,GBP1
IL23A,GBP1
STX7,GBP1
TMIGD2,GBP1
EPO,GBP1
IL2,GBP1
GPAM,GBP1
PYCARD,GBP1
IGF1,GBP1
HHLA2,GBP1
TNFSF9,GBP1
IL2RA,GBP1
PYDC1,GBP1
IGF2,GBP1
IGFBP2,GBP1
AGER,GBP1
STAT5B,GBP1
HSPD1,GBP1
IL1B,GBP1
ZBTB1,GBP1
ZP3,GBP1
CCR2,GBP1
SYK,GBP1
RIPK2,GBP1
CD83,GBP1
CD244,GBP1
NKAP,GBP1
CD55,GBP1
AP3D1,GBP1
CCL19,GBP1
PRKCQ,GBP1
RASAL3,GBP1
NCKAP1L,GBP1
MYB,GBP1
PNP,GBP1
CD80,GBP1
HSPH1,GBP1
TGFBR2,GBP1
ZBTB16,GBP1
AP3B1,GBP1
RARA,GBP1
ITPKB,GBP1
ADA,GBP1
CD3E,CEACAM1
IL7,CEACAM1
IL18,CEACAM1
CD276,CEACAM1
IL21,CEACAM1
SART1,CEACAM1
CD47,CEACAM1
NCK2,CEACAM1
SIRPG,CEACAM1
NCK1,CEACAM1
LCK,CEACAM1
ZAP70,CEACAM1
IL12B,CEACAM1
CD24,CEACAM1
EBI3,CEACAM1
ICOSLG,CEACAM1
CD28,CEACAM1
RAB27A,CEACAM1
CLEC4E,CEACAM1
IFNE,CEACAM1
SLC11A1,CEACAM1
IFNA8,CEACAM1
LCP1,CEACAM1
RPS6,CEACAM1
CLEC4D,CEACAM1
IFNA13,CEACAM1
SLAMF6,CEACAM1
IL6,CEACAM1
IFNA6,CEACAM1
IFNA17,CEACAM1
IFNA21,CEACAM1
IFNA4,CEACAM1
IFNA5,CEACAM1
ATP7A,CEACAM1
IFNW1,CEACAM1
SEMA4A,CEACAM1
APBB1IP,CEACAM1
LY9,CEACAM1
IFNA16,CEACAM1
PSEN1,CEACAM1
IFNA7,CEACAM1
IL18R1,CEACAM1
FOXP1,CEACAM1
PTGER4,CEACAM1
IFNK,CEACAM1
RC3H2,CEACAM1
IFNA14,CEACAM1
TSC1,CEACAM1
BATF,CEACAM1
EIF2AK4,CEACAM1
RORC,CEACAM1
ICAM1,CEACAM1
CD86,CEACAM1
STAT6,CEACAM1
IFNG,CEACAM1
F2RL1,CEACAM1
CD1C,CEACAM1
ZFPM1,CEACAM1
RELB,CEACAM1
IFNA1,CEACAM1
LEF1,CEACAM1
IFNA10,CEACAM1
IRF4,CEACAM1
FCER1G,CEACAM1
ITGAL,CEACAM1
BCL3,CEACAM1
RORA,CEACAM1
EOMES,CEACAM1
FADD,CEACAM1
IL12A,CEACAM1
P2RX7,CEACAM1
IL12RB1,CEACAM1
PVRL2,CEACAM1
IL23R,CEACAM1
PVR,CEACAM1
HLA-E,CEACAM1
HLA-B,CEACAM1
NCR3,CEACAM1
IL23A,CEACAM1
STX7,CEACAM1
TMIGD2,CEACAM1
EPO,CEACAM1
IL2,CEACAM1
GPAM,CEACAM1
PYCARD,CEACAM1
IGF1,CEACAM1
HHLA2,CEACAM1
TNFSF9,CEACAM1
IL2RA,CEACAM1
PYDC1,CEACAM1
IGF2,CEACAM1
IGFBP2,CEACAM1
AGER,CEACAM1
STAT5B,CEACAM1
HSPD1,CEACAM1
IL1B,CEACAM1
ZBTB1,CEACAM1
ZP3,CEACAM1
CCR2,CEACAM1
SYK,CEACAM1
RIPK2,CEACAM1
CD83,CEACAM1
CD244,CEACAM1
NKAP,CEACAM1
CD55,CEACAM1
AP3D1,CEACAM1
CCL19,CEACAM1
PRKCQ,CEACAM1
RASAL3,CEACAM1
NCKAP1L,CEACAM1
MYB,CEACAM1
PNP,CEACAM1
CD80,CEACAM1
HSPH1,CEACAM1
TGFBR2,CEACAM1
ZBTB16,CEACAM1
AP3B1,CEACAM1
RARA,CEACAM1
ITPKB,CEACAM1
ADA,CEACAM1
CD3E,LGALS3
IL7,LGALS3
IL18,LGALS3
CD276,LGALS3
IL21,LGALS3
SART1,LGALS3
CD47,LGALS3
NCK2,LGALS3
SIRPG,LGALS3
NCK1,LGALS3
LCK,LGALS3
ZAP70,LGALS3
IL12B,LGALS3
CD24,LGALS3
EBI3,LGALS3
ICOSLG,LGALS3
CD28,LGALS3
RAB27A,LGALS3
CLEC4E,LGALS3
IFNE,LGALS3
SLC11A1,LGALS3
IFNA8,LGALS3
LCP1,LGALS3
RPS6,LGALS3
CLEC4D,LGALS3
IFNA13,LGALS3
SLAMF6,LGALS3
IL6,LGALS3
IFNA6,LGALS3
IFNA17,LGALS3
IFNA21,LGALS3
IFNA4,LGALS3
IFNA5,LGALS3
ATP7A,LGALS3
IFNW1,LGALS3
SEMA4A,LGALS3
APBB1IP,LGALS3
LY9,LGALS3
IFNA16,LGALS3
PSEN1,LGALS3
IFNA7,LGALS3
IL18R1,LGALS3
FOXP1,LGALS3
PTGER4,LGALS3
IFNK,LGALS3
RC3H2,LGALS3
IFNA14,LGALS3
TSC1,LGALS3
BATF,LGALS3
EIF2AK4,LGALS3
RORC,LGALS3
ICAM1,LGALS3
CD86,LGALS3
STAT6,LGALS3
IFNG,LGALS3
F2RL1,LGALS3
CD1C,LGALS3
ZFPM1,LGALS3
RELB,LGALS3
IFNA1,LGALS3
LEF1,LGALS3
IFNA10,LGALS3
IRF4,LGALS3
FCER1G,LGALS3
ITGAL,LGALS3
BCL3,LGALS3
RORA,LGALS3
EOMES,LGALS3
FADD,LGALS3
IL12A,LGALS3
P2RX7,LGALS3
IL12RB1,LGALS3
PVRL2,LGALS3
IL23R,LGALS3
PVR,LGALS3
HLA-E,LGALS3
HLA-B,LGALS3
NCR3,LGALS3
IL23A,LGALS3
STX7,LGALS3
TMIGD2,LGALS3
EPO,LGALS3
IL2,LGALS3
GPAM,LGALS3
PYCARD,LGALS3
IGF1,LGALS3
HHLA2,LGALS3
TNFSF9,LGALS3
IL2RA,LGALS3
PYDC1,LGALS3
IGF2,LGALS3
IGFBP2,LGALS3
AGER,LGALS3
STAT5B,LGALS3
HSPD1,LGALS3
IL1B,LGALS3
ZBTB1,LGALS3
ZP3,LGALS3
CCR2,LGALS3
SYK,LGALS3
RIPK2,LGALS3
CD83,LGALS3
CD244,LGALS3
NKAP,LGALS3
CD55,LGALS3
AP3D1,LGALS3
CCL19,LGALS3
PRKCQ,LGALS3
RASAL3,LGALS3
NCKAP1L,LGALS3
MYB,LGALS3
PNP,LGALS3
CD80,LGALS3
HSPH1,LGALS3
TGFBR2,LGALS3
ZBTB16,LGALS3
AP3B1,LGALS3
RARA,LGALS3
ITPKB,LGALS3
ADA,LGALS3
CD3E,DUSP22
IL7,DUSP22
IL18,DUSP22
CD276,DUSP22
IL21,DUSP22
SART1,DUSP22
CD47,DUSP22
NCK2,DUSP22
SIRPG,DUSP22
NCK1,DUSP22
LCK,DUSP22
ZAP70,DUSP22
IL12B,DUSP22
CD24,DUSP22
EBI3,DUSP22
ICOSLG,DUSP22
CD28,DUSP22
RAB27A,DUSP22
CLEC4E,DUSP22
IFNE,DUSP22
SLC11A1,DUSP22
IFNA8,DUSP22
LCP1,DUSP22
RPS6,DUSP22
CLEC4D,DUSP22
IFNA13,DUSP22
SLAMF6,DUSP22
IL6,DUSP22
IFNA6,DUSP22
IFNA17,DUSP22
IFNA21,DUSP22
IFNA4,DUSP22
IFNA5,DUSP22
ATP7A,DUSP22
IFNW1,DUSP22
SEMA4A,DUSP22
APBB1IP,DUSP22
LY9,DUSP22
IFNA16,DUSP22
PSEN1,DUSP22
IFNA7,DUSP22
IL18R1,DUSP22
FOXP1,DUSP22
PTGER4,DUSP22
IFNK,DUSP22
RC3H2,DUSP22
IFNA14,DUSP22
TSC1,DUSP22
BATF,DUSP22
EIF2AK4,DUSP22
RORC,DUSP22
ICAM1,DUSP22
CD86,DUSP22
STAT6,DUSP22
IFNG,DUSP22
F2RL1,DUSP22
CD1C,DUSP22
ZFPM1,DUSP22
RELB,DUSP22
IFNA1,DUSP22
LEF1,DUSP22
