"","ProInfection","AntiInfection"
"1","ALDOC","RPIA"
"2","DFNA5","RPIA"
"3","NET1","RPIA"
"4","CBX1","RPIA"
"5","FABP5","RPIA"
"6","S100A10","RPIA"
"7","GNAI1","RPIA"
"8","SOX4","RPIA"
"9","APP","RPIA"
"10","C5orf13","RPIA"
"11","NME1","RPIA"
"12","AP2B1","RPIA"
"13","VAMP8","RPIA"
"14","MAP4K4","RPIA"
"15","SAT1","RPIA"
"16","CTNNA1","RPIA"
"17","PKM2","RPIA"
"18","RAB4A","RPIA"
"19","IDH2","RPIA"
"20","SQRDL","RPIA"
"21","DNAJC7","RPIA"
"22","ECI2","RPIA"
"23","ACLY","RPIA"
"24","LGALS1","RPIA"
"25","HSD17B8","RPIA"
"26","ADD2","RPIA"
"27","LGALS3","RPIA"
"28","ITGAE","RPIA"
"29","GPR56","RPIA"
"30","RBPJ","RPIA"
"31","DDIT4","RPIA"
"32","ISG20","RPIA"
"33","RPS25","RPIA"
"34","CTSS","RPIA"
"35","NFKB2","RPIA"
"36","RASL12","RPIA"
"37","ATF4","RPIA"
"38","IFIT2","RPIA"
"39","PDE2A","RPIA"
"40","ANPEP","RPIA"
"41","BACE2","RPIA"
"42","TOP2A","RPIA"
"43","MYC","RPIA"
"44","ELF3","RPIA"
"45","HIST1H2BK","RPIA"
"46","FUBP3","RPIA"
"47","SH3BP5","RPIA"
"48","TSC22D3","RPIA"
"49","ALDOC","HOPX"
"50","DFNA5","HOPX"
"51","NET1","HOPX"
"52","CBX1","HOPX"
"53","FABP5","HOPX"
"54","S100A10","HOPX"
"55","GNAI1","HOPX"
"56","SOX4","HOPX"
"57","APP","HOPX"
"58","C5orf13","HOPX"
"59","NME1","HOPX"
"60","AP2B1","HOPX"
"61","VAMP8","HOPX"
"62","MAP4K4","HOPX"
"63","SAT1","HOPX"
"64","CTNNA1","HOPX"
"65","PKM2","HOPX"
"66","RAB4A","HOPX"
"67","IDH2","HOPX"
"68","SQRDL","HOPX"
"69","DNAJC7","HOPX"
"70","ECI2","HOPX"
"71","ACLY","HOPX"
"72","LGALS1","HOPX"
"73","HSD17B8","HOPX"
"74","ADD2","HOPX"
"75","LGALS3","HOPX"
"76","ITGAE","HOPX"
"77","GPR56","HOPX"
"78","RBPJ","HOPX"
"79","DDIT4","HOPX"
"80","ISG20","HOPX"
"81","RPS25","HOPX"
"82","CTSS","HOPX"
"83","NFKB2","HOPX"
"84","RASL12","HOPX"
"85","ATF4","HOPX"
"86","IFIT2","HOPX"
"87","PDE2A","HOPX"
"88","ANPEP","HOPX"
"89","BACE2","HOPX"
"90","TOP2A","HOPX"
"91","MYC","HOPX"
"92","ELF3","HOPX"
"93","HIST1H2BK","HOPX"
"94","FUBP3","HOPX"
"95","SH3BP5","HOPX"
"96","TSC22D3","HOPX"
"97","ALDOC","PTPN3"
"98","DFNA5","PTPN3"
"99","NET1","PTPN3"
"100","CBX1","PTPN3"
"101","FABP5","PTPN3"
"102","S100A10","PTPN3"
"103","GNAI1","PTPN3"
"104","SOX4","PTPN3"
"105","APP","PTPN3"
"106","C5orf13","PTPN3"
"107","NME1","PTPN3"
"108","AP2B1","PTPN3"
"109","VAMP8","PTPN3"
"110","MAP4K4","PTPN3"
"111","SAT1","PTPN3"
"112","CTNNA1","PTPN3"
"113","PKM2","PTPN3"
"114","RAB4A","PTPN3"
"115","IDH2","PTPN3"
"116","SQRDL","PTPN3"
"117","DNAJC7","PTPN3"
"118","ECI2","PTPN3"
"119","ACLY","PTPN3"
"120","LGALS1","PTPN3"
"121","HSD17B8","PTPN3"
"122","ADD2","PTPN3"
